station,pollutant,date,day_mean,validity
FR01001,O3,2003/11/14,20,1
FR01001,O3,2003/11/15,34,1
FR01001,O3,2003/11/16,18,1
FR01001,O3,2003/11/17,43,1
FR01001,O3,2003/11/18,35,1
FR01001,O3,2003/11/19,27,1
FR01001,O3,2003/11/20,25,1
FR01001,O3,2003/11/21,7,1
FR01001,O3,2003/11/22,39,1
FR01001,O3,2003/11/23,48,1
FR01001,O3,2003/11/24,38,1
FR01001,O3,2003/11/25,35,1
FR01001,O3,2003/11/26,47,1
FR01001,O3,2003/11/27,28,1
FR01001,O3,2003/11/28,23,1
FR01001,O3,2003/11/29,15,1
FR01001,O3,2003/11/30,31,1
FR01001,O3,2003/12/01,22,1
FR01001,O3,2003/12/02,6,1
FR01001,O3,2003/12/03,7,1
FR01001,O3,2003/12/04,5,1
FR01001,O3,2003/12/05,5,1
FR01001,O3,2003/12/06,26,1
FR01001,O3,2003/12/07,43,1
FR01001,O3,2003/12/08,12,1
FR01001,O3,2003/12/09,9,1
FR01001,O3,2003/12/10,12,1
FR01001,O3,2003/12/11,26,1
FR01001,O3,2003/12/12,14,1
FR01001,O3,2003/12/13,49,1
FR01001,O3,2003/12/14,63,1
FR01001,O3,2003/12/15,50,1
FR01001,O3,2003/12/16,28,1
FR01001,O3,2003/12/17,8,1
FR01001,O3,2003/12/18,8,1
FR01001,O3,2003/12/19,19,1
FR01001,O3,2003/12/20,47,1
FR01001,O3,2003/12/21,63,1
FR01001,O3,2003/12/22,47,1
FR01001,O3,2003/12/23,35,1
FR01001,O3,2003/12/24,36,1
FR01001,O3,2003/12/25,35,1
FR01001,O3,2003/12/26,49,1
FR01001,O3,2003/12/27,65,1
FR01001,O3,2003/12/28,62,1
FR01001,O3,2003/12/29,45,1
FR01001,O3,2003/12/30,20,1
FR01001,O3,2003/12/31,28,1
FR01006,O3,2003/01/01,-999,-1
FR01006,O3,2003/01/02,52,1
FR01006,O3,2003/01/03,48,1
FR01006,O3,2003/01/04,26,1
FR01006,O3,2003/01/05,22,1
FR01006,O3,2003/01/06,17,1
FR01006,O3,2003/01/07,26,1
FR01006,O3,2003/01/08,23,1
FR01006,O3,2003/01/09,22,1
FR01006,O3,2003/01/10,14,1
FR01006,O3,2003/01/11,27,1
FR01006,O3,2003/01/12,12,1
FR01006,O3,2003/01/13,13,1
FR01006,O3,2003/01/14,11,1
FR01006,O3,2003/01/15,26,1
FR01006,O3,2003/01/16,18,1
FR01006,O3,2003/01/17,4,1
FR01006,O3,2003/01/18,15,1
FR01006,O3,2003/01/19,26,1
FR01006,O3,2003/01/20,28,1
FR01006,O3,2003/01/21,16,1
FR01006,O3,2003/01/22,38,1
FR01006,O3,2003/01/23,24,1
FR01006,O3,2003/01/24,23,1
FR01006,O3,2003/01/25,11,1
